variant,variant_label,seed,run_id,run_dir,training_completed,total_env_steps,total_ale_frames,total_updates,total_episodes,wall_time_total_sec,env_steps_per_second,updates_per_second,final_score,final_score_median,final_score_std_within_eval,best_score,best_eval_step,area_under_eval_curve,normalized_auc,final_train_score_mean_last_100,final_train_score_std_last_100,success_threshold,first_reach_step,first_sustained_step,reached_threshold,collapse_count,largest_eval_drop,largest_eval_drop_fraction,eval_score_std_across_time,rolling_score_std_mean,td_loss_last10,td_error_abs_mean_last10,td_error_abs_p95_last10,grad_norm_mean_last10,grad_norm_max,gradient_clip_fraction,q_overestimation_proxy_last10,online_q_mean_last10,online_q_max_mean_last10,target_q_mean_last10,max_q_value_seen,replay_enabled,final_buffer_size,sample_age_mean_last10,sample_consecutive_transition_fraction_last10,target_network_enabled,target_update_count,online_target_param_l2_mean,online_target_param_l2_max,nan_detected,inf_detected,loss_explosion,q_value_explosion,gradient_explosion,early_terminated,final_zero_score_rate,reference_random_score,reference_human_score,reference_dqn_score,use_target_network,use_replay_buffer,use_double_dqn,use_dueling_network,freeway_up_bias,learning_rate,gamma,batch_size,target_update_frequency,epsilon_decay_steps,first_reach_score_5_0_step,reached_score_5_0,first_reach_score_10_0_step,reached_score_10_0,first_reach_score_15_0_step,reached_score_15_0,first_reach_score_22_5_step,reached_score_22_5,best_final_gap,final_solved
dqn,DQN baseline,0,freeway_dqn_seed0_20260520_020227,output/run_freeway_upbiased_20260520_110511/freeway/dqn/seed_0/freeway_dqn_seed0_20260520_020227,True,1000000.0,4000000.0,245001.0,489.0,15471.886617441,64.63335886088576,15.83523755427587,28.9,29.0,1.2609520212918492,29.6,950000.0,15741000.0,15.741,27.43,1.6985582121316891,15.0,340000.0,400000.0,True,5.0,17.55,1.0,11.322407639278847,1.6985582121316891,0.0002881708385943131,0.017306720488229576,0.04228242391682401,0.03947664684567978,0.1492949614367003,0.0,0.0032110695936241928,0.9736016901171938,1.0427140381871438,1.0395029685935195,1.8600823879241943,True,25000.0,12572.25306122449,0.0007899934167215273,True,126.0,0.16600757971755137,0.2535692874392486,False,False,False,False,False,False,0.0,0.0,29.6,30.3,True,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,90000.0,True,150000.0,True,340000.0,True,550000.0,True,0.7000000000000028,True
dqn,DQN baseline,1,freeway_dqn_seed1_20260520_020227,output/run_freeway_upbiased_20260520_110511/freeway/dqn/seed_1/freeway_dqn_seed1_20260520_020227,True,1000000.0,4000000.0,245001.0,489.0,15246.993619810004,65.58670023320055,16.068807143834366,27.15,27.5,1.4585952145814822,27.85,920000.0,14717750.0,14.71775,26.59,1.5105959089048269,15.0,220000.0,440000.0,True,19.0,15.4,1.0,11.215683784326304,1.5105959089048269,0.00041714729078955073,0.021335210784205368,0.052740813213951736,0.07270726289490803,0.22223435462331645,0.0,-0.002355697690224161,1.6311267191050003,1.7047254431004426,1.7070811407906668,3.785168170928955,True,25000.0,12612.64706632653,0.0013166556945358788,True,126.0,0.2051168013634686,0.29687022776884336,False,False,False,False,False,False,0.0,0.0,29.6,30.3,True,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,150000.0,True,200000.0,True,220000.0,True,520000.0,True,0.7000000000000028,True
dqn,DQN baseline,2,freeway_dqn_seed2_20260520_020227,output/run_freeway_upbiased_20260520_110511/freeway/dqn/seed_2/freeway_dqn_seed2_20260520_020227,True,1000000.0,4000000.0,245001.0,489.0,15375.820424135003,65.03717996278934,15.934174128063349,28.95,29.0,1.6271140095272978,28.95,650000.0,17019750.0,17.01975,28.25,1.5256146302392357,15.0,220000.0,430000.0,True,17.0,17.75,1.0,11.51455013233257,1.5256146302392357,0.00027909464287756923,0.01740055951308839,0.04290680616941987,0.04183642703727366,0.13274346238439105,0.0,0.0023650733792051977,1.0694611938632264,1.1398018944020174,1.1374368210228123,2.009492874145508,True,25000.0,12420.553698979591,0.002238314680710994,True,126.0,0.1774902832380329,0.27537827385077135,False,False,False,False,False,False,0.0,0.0,29.6,30.3,True,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,40000.0,True,40000.0,True,220000.0,True,500000.0,True,0.0,True
dqn,DQN baseline,3,freeway_dqn_seed3_20260520_020227,output/run_freeway_upbiased_20260520_110511/freeway/dqn/seed_3/freeway_dqn_seed3_20260520_020227,True,1000000.0,4000000.0,245001.0,489.0,15425.719517332007,64.82679779548835,15.88263028669244,28.15,28.0,1.0136567466356647,29.8,970000.0,16361500.0,16.3615,28.06,1.666253282067285,15.0,10000.0,440000.0,True,39.0,22.15,1.0,10.890389616538059,1.666253282067285,0.00027750447004610597,0.017793409568162596,0.04285961024615229,0.04771231297021898,0.12450234393047555,0.0,0.002054989581205407,1.2515922551252403,1.3169684181408006,1.3149134285595951,2.6623432636260986,True,25000.0,12467.769515306123,0.001053324555628703,True,126.0,0.18442682762228227,0.2728703498751339,False,False,False,False,False,False,0.0,0.0,29.6,30.3,True,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,10000.0,True,10000.0,True,10000.0,True,470000.0,True,1.6500000000000021,True
dqn_no_target,DQN without target network,0,freeway_dqn_no_target_seed0_20260520_230527,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_target/seed_0/freeway_dqn_no_target_seed0_20260520_230527,True,1000000.0,4000000.0,245001.0,489.0,12688.681478570004,78.81039505081016,19.30862559784354,25.2,25.5,1.6613247725836147,29.0,970000.0,20863500.0,20.8635,26.33,1.8711226576576963,15.0,120000.0,150000.0,True,2.0,16.25,0.9129213483146067,7.257459248938294,1.8711226576576963,0.0004890316954756878,0.022555662425501007,0.05607552669030063,0.05746266434906341,0.3881541321178715,0.0,0.00020941958135488082,1.470663901737758,1.5158551157737266,1.5156456961923717,7.592260837554932,True,25000.0,12572.25306122449,0.0007899934167215273,False,,,,False,False,False,False,False,False,0.0,0.0,29.6,30.3,False,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,60000.0,True,60000.0,True,120000.0,True,330000.0,True,3.8000000000000007,True
dqn_no_target,DQN without target network,1,freeway_dqn_no_target_seed1_20260520_230527,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_target/seed_1/freeway_dqn_no_target_seed1_20260520_230527,True,1000000.0,4000000.0,245001.0,489.0,12630.499331537998,79.17343358730311,19.39757040232285,28.05,28.0,1.2835497652993435,29.1,980000.0,20296750.0,20.29675,26.79,1.8777380008936286,15.0,50000.0,260000.0,True,14.0,21.8,1.0,7.954154951973214,1.8777380008936286,0.0004447290922719415,0.02188959543270116,0.055029537179032154,0.058858596205280764,0.21185468342253846,0.0,0.0004277204980655592,1.4883133430870212,1.535766196737484,1.5353384762394184,13.734511375427246,True,25000.0,12612.64706632653,0.0013166556945358788,False,,,,False,False,False,False,False,False,0.0,0.0,29.6,30.3,False,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,30000.0,True,30000.0,True,50000.0,True,260000.0,True,1.0500000000000007,True
dqn_no_target,DQN without target network,2,freeway_dqn_no_target_seed2_20260520_230527,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_target/seed_2/freeway_dqn_no_target_seed2_20260520_230527,True,1000000.0,4000000.0,245001.0,489.0,12486.976870029,80.08343495855915,19.62052164828195,27.6,28.0,0.9165151389911681,29.5,940000.0,21269000.0,21.269,27.5,1.5329709716755893,15.0,40000.0,220000.0,True,10.0,20.599999999999998,1.0,7.8703526604593765,1.5329709716755893,0.00040597507364249655,0.021014792061581904,0.05185643813135673,0.05435067670183219,0.27686958710884185,0.0,0.0004810197012765067,1.4879020092438677,1.5345880060779804,1.534106986376704,6.880667209625244,True,25000.0,12420.553698979591,0.002238314680710994,False,,,,False,False,False,False,False,False,0.0,0.0,29.6,30.3,False,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,30000.0,True,30000.0,True,40000.0,True,230000.0,True,1.8999999999999986,True
dqn_no_target,DQN without target network,3,freeway_dqn_no_target_seed3_20260520_230527,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_target/seed_3/freeway_dqn_no_target_seed3_20260520_230527,True,1000000.0,4000000.0,245001.0,489.0,12669.938633730999,78.92698054098811,19.337189159522627,28.1,28.0,1.1357816691600549,29.65,870000.0,21103750.0,21.10375,27.04,1.72,15.0,10000.0,160000.0,True,12.0,22.15,1.0,7.243086358728577,1.72,0.00041615891921314963,0.02110996611644419,0.05316399489434398,0.055292930850384406,0.15197301387752446,0.0,0.001975450223805953,1.5008272939798784,1.5497874191829137,1.5478119689591077,6.352653980255127,True,25000.0,12467.769515306123,0.001053324555628703,False,,,,False,False,False,False,False,False,0.0,0.0,29.6,30.3,False,True,False,False,0.5,6.25e-05,0.99,32.0,8000.0,250000.0,10000.0,True,10000.0,True,10000.0,True,250000.0,True,1.5499999999999972,True
dqn_no_replay,DQN without replay buffer,0,freeway_dqn_no_replay_seed0_20260521_040430,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_replay/seed_0/freeway_dqn_no_replay_seed0_20260521_040430,True,1000000.0,4000000.0,1000000.0,489.0,37598.316893003,26.59693525233569,26.59693525233569,0.0,0.0,0.0,21.65,10000.0,994750.0,0.99475,0.21,0.5530822723609934,15.0,10000.0,,True,98.0,21.65,1.0,3.65814720862898,0.5530822723609934,6.748670030037513e-06,0.001221497468650341,0.001221497468650341,0.0014680330255209513,0.11497642646141804,0.0,-0.0011412049159407617,0.10595213814824819,0.10916676424443722,0.11030796916037798,1.7070252895355225,False,0.0,0.0,1.0,True,126.0,0.032362156069281015,0.25851598857869384,False,False,False,False,False,False,1.0,0.0,29.6,30.3,True,False,False,False,0.5,6.25e-05,0.99,1.0,8000.0,250000.0,10000.0,True,10000.0,True,10000.0,True,,False,21.65,False
dqn_no_replay,DQN without replay buffer,1,freeway_dqn_no_replay_seed1_20260521_040430,output/run_freeway_upbiased_20260520_110511/freeway/dqn_no_replay/seed_1/freeway_dqn_no_replay_seed1_20260521_040430,True,1000000.0,4000000.0,1000000.0,489.0,37588.817304444005,26.603656930748212,26.603656930748212,22.6,23.0,1.42828568570857,24.9,890000.0,15550000.0,15.55,22.67,1.8550202155232702,15.0,60000.0,260000.0,True,26.0,22.8,1.0,9.612685940984445,1.8550202155232702,0.0008821645785535992,0.03147406225651503,0.03147406225651503,0.13651561640121207,2.6687900269128715,0.0,-0.006726552426815033,1.3826858367286623,1.4480765599459409,1.454803112372756,3.1611578464508057,False,0.0,0.0,1.0,True,126.0,0.6084141811324776,0.9658788197851171,False,False,False,False,False,False,0.0,0.0,29.6,30.3,True,False,False,False,0.5,6.25e-05,0.99,1.0,8000.0,250000.0,60000.0,True,60000.0,True,60000.0,True,490000.0,True,2.299999999999997,True
