variant,variant_label,phase,n,return_mean,return_std,return_ci95
dqn,DQN baseline,early: 10k-100k,5,-110.95903874963862,8.941357319854209,11.100381638517344
dqn,DQN baseline,middle: 110k-300k,5,96.38092742723016,61.43206027765343,76.26574909473294
dqn,DQN baseline,late: 310k-500k,5,179.95467890929748,46.750196637443594,58.038730115285865
dqn_no_target,DQN without target network,early: 10k-100k,5,-124.71441030126694,31.317704801956015,38.87983254759439
dqn_no_target,DQN without target network,middle: 110k-300k,5,77.53780127867311,41.059899876237274,50.974426181748484
dqn_no_target,DQN without target network,late: 310k-500k,5,121.53323903274566,40.36568413196169,50.11258167366524
dqn_no_replay,DQN without replay buffer,early: 10k-100k,5,-59.3776235498964,33.32053183722964,41.36627209498963
dqn_no_replay,DQN without replay buffer,middle: 110k-300k,5,-154.17435345475388,63.05086953249618,78.2754440309612
dqn_no_replay,DQN without replay buffer,late: 310k-500k,5,-267.14897083705534,204.04516901662322,253.3149237365702
double_dqn,Double DQN,early: 10k-100k,5,-101.65993079531653,8.17730003705347,10.151831308922077
double_dqn,Double DQN,middle: 110k-300k,5,43.22616567347178,57.37018270598391,71.2230704944328
double_dqn,Double DQN,late: 310k-500k,5,159.9107202084852,42.27091546635194,52.47785958001091
dueling_dqn,Dueling DQN,early: 10k-100k,5,-107.93145673815567,19.379006240250135,24.058356840781432
dueling_dqn,Dueling DQN,middle: 110k-300k,5,39.69608638056066,49.532050775685285,61.49230449918881
dueling_dqn,Dueling DQN,late: 310k-500k,5,172.05652781828644,55.994145618316814,69.51476869242991
double_dueling_dqn,Double + Dueling DQN,early: 10k-100k,5,-105.13179459565454,26.589184895848174,33.00954086083077
double_dueling_dqn,Double + Dueling DQN,middle: 110k-300k,5,40.87760676739735,61.360909480614986,76.17741787467783
double_dueling_dqn,Double + Dueling DQN,late: 310k-500k,5,160.406152074386,87.46845434012825,108.58901951616488
