batch,variant,runs,stable_success_rate,collapsed_rate,ever_success_rate,best_mean,best_max,final_mean,final_median,final_max,zero_mean,final_up_mean,final_down_mean,final_noop_mean,tail_action_gap_mean,tail_replay_reward_mean
full_freeway_1m_5seeds_20260519_145346,dqn,2,0.5,0.0,1.0,20.200000000000003,22.35,15.4,15.4,22.3,0.0,0.6684850996380671,0.13932861611584524,0.19218628424608752,0.04492036524437824,0.005293367346938775
full_freeway_1m_5seeds_20260516_154706,dqn,5,0.4,0.4,0.8,19.330000000000002,25.75,9.73,0.0,24.6,0.6,0.4071260961928222,0.23480095387115402,0.3580729499360237,0.03367903198837778,0.004260204081632653
freeway_dqn_hyp_dense_updates_20260519_063709,dqn,4,0.25,0.0,0.25,11.3,29.0,7.0,0.0,28.0,0.75,0.32430098209465075,0.3951207569261298,0.28057826097921945,0.018001178591146378,0.0035367398648648647
full_freeway_1m_5seeds_20260516_154706,dqn_no_replay,5,0.2,0.8,1.0,21.380000000000003,24.2,4.3,0.0,21.5,0.8,0.25161559154698815,0.5110518864094326,0.23733252204357927,0.012703989704698323,0.002
freeway_tuned_20260518_133656,dqn,2,0.0,0.0,0.0,5.4,10.3,5.15,5.15,10.3,0.5,0.29782366257995646,0.35395242682190403,0.34822391059813956,0.01554661968447344,0.0006377551020408163
freeway_tuned_20260517_151616,double_dqn,5,0.0,0.4,0.6,14.959999999999999,22.0,2.0,0.8,7.8,0.5599999999999999,0.23750992800518458,0.2905641427371365,0.47192592925767896,0.004284064013407462,0.0003888888888888889
freeway_tuned_20260517_151616,dueling_dqn,5,0.0,0.6,0.6,17.0,22.0,1.0399999999999998,0.0,3.8,0.64,0.3709032649628979,0.3757279503126051,0.2533687847244971,0.004203309393384391,0.00022222222222222223
freeway_tuned_20260517_151616,dqn,5,0.0,0.8,0.8,16.6,22.6,0.31999999999999995,0.0,1.2,0.76,0.2141774243652415,0.33701464460514874,0.4488079310296097,0.0031137446623502505,8.333333333333334e-05
freeway_dqn_hyp_slow_exploration_20260518_170402,dqn,4,0.0,0.0,0.0,5.0,10.0,0.025,0.0,0.1,0.975,0.13212611488438766,0.4326559612232556,0.4352179238923567,0.0037521581864771057,2.1114864864864866e-05
freeway_tuned_20260518_120047,dqn,2,0.0,0.5,0.5,18.0,22.0,0.0,0.0,0.0,1.0,0.2564037026103203,0.49201664601606926,0.2515796513736105,0.00320174393395113,0.0
full_freeway_1m_5seeds_20260516_154706,dqn_no_target,5,0.0,0.6,0.6,15.530000000000001,21.6,0.0,0.0,0.0,1.0,0.17027920307123018,0.4871102731446949,0.34261052378407486,0.0015069201260767117,0.0
full_freeway_1m_5seeds_20260516_154706,double_dqn,5,0.0,0.6,0.6,13.809999999999999,21.6,0.0,0.0,0.0,1.0,0.19348110379310737,0.29943035424502873,0.5070885419618639,0.001991284373929078,0.0
